SequencesName,Daily_SIF_757nm,latitude,longitude,datetime,MeasurementMode,SimplyGoodOrBadQualityFlag,tag,location_1,city_country,country,city
b'fossil_Buenos_Aires_Argentina',0.300444603,-33.73510742,-58.30053711,11/5/20 15:38,b'AM',0,b'fossil,Buenos_Aires_Argentina',Buenos_Aires_Argentina,Argentina,Buenos_Aires
b'fossil_San_Cristobal_Dominican_Republic',0.228240967,18.425354,-70.52734375,11/25/20 19:21,b'AM',0,b'fossil,San_Cristobal_Dominican_Republic',San_Cristobal_Dominican_Republic,Dominican_Republic,San_Cristobal
b'fossil_Monterrey_Mexico',0.066636086,25.78491211,-99.95428467,12/1/20 19:23,b'AM',0,b'fossil,Monterrey_Mexico',Monterrey_Mexico,Mexico,Monterrey
b'fossil_Los_Angeles_USA',0.079704285,34.47027588,-118.0940552,12/22/20 20:31,b'AM',0,b'fossil,Los_Angeles_USA',Los_Angeles_USA,USA,Los_Angeles
b'fossil_Luanda_Angola',0.193102837,-8.766906738,13.53833008,12/26/20 13:00,b'AM',0,b'fossil,Luanda_Angola',Luanda_Angola,Angola,Luanda
b'fossil_Abu_Dhabi_UAE',0.416790009,24.03442383,54.32293701,5/26/21 11:29,b'AM',0,b'fossil,Abu_Dhabi_UAE',Abu_Dhabi_UAE,UAE,Abu_Dhabi
b'fossil_Adelaide_Australia',-0.175685883,-34.53399658,138.4979248,12/1/21 23:21,b'AM',0,b'fossil,Adelaide_Australia',Adelaide_Australia,Australia,Adelaide
b'fossil_Al_Hofuf_Saudi_Arabia',-0.015381813,25.89550781,49.42681885,8/19/21 11:21,b'AM',0,b'fossil,Al_Hofuf_Saudi_Arabia',Al_Hofuf_Saudi_Arabia,Saudi_Arabia,Al_Hofuf
b'fossil_Almaty_Kazakhstan',0.690555573,43.60852051,77.01263428,8/8/21 11:59,b'AM',0,b'fossil,Almaty_Kazakhstan',Almaty_Kazakhstan,Kazakhstan,Almaty
b'fossil_Baghdad_Iraq',0.020486355,33.49411011,43.88394165,8/10/21 7:01,b'AM',0,b'fossil,Baghdad_Iraq',Baghdad_Iraq,Iraq,Baghdad
b'fossil_Baltimore_USA',0.378890038,39.66040039,-76.47644043,8/29/21 14:24,b'AM',0,b'fossil,Baltimore_USA',Baltimore_USA,USA,Baltimore
b'fossil_Baotou_China',0.172861099,40.55755615,108.8131714,8/15/21 1:40,b'AM',0,b'fossil,Baotou_China',Baotou_China,China,Baotou
b'fossil_Barcelona_Spain',0.297891617,41.62353516,2.557006836,8/27/21 9:44,b'AM',0,b'fossil,Barcelona_Spain',Barcelona_Spain,Spain,Barcelona
b'fossil_Beijing_China',0.068499565,39.69537354,116.2683105,12/27/21 2:23,b'AM',0,b'fossil,Beijing_China',Beijing_China,China,Beijing
b'fossil_Bogota_Colombia',0.313556671,4.587646484,-74.1177063,6/8/21 13:42,b'AM',0,b'fossil,Bogota_Colombia',Bogota_Colombia,Colombia,Bogota
b'fossil_Brisbane_Australia',0.264296532,-27.60086496,152.2752511,10/7/21 20:54,b'AM',0,b'fossil,Brisbane_Australia',Brisbane_Australia,Australia,Brisbane
b'fossil_Brussels_Belgium',0.367219925,51.25140381,3.932983398,4/20/21 10:12,b'AM',0,b'fossil,Brussels_Belgium',Brussels_Belgium,Belgium,Brussels
b'fossil_Bucharest_Romania',0.677429199,44.93441772,26.51455688,6/21/21 5:26,b'AM',0,b'fossil,Bucharest_Romania',Bucharest_Romania,Romania,Bucharest
b'fossil_Calgary_Canada',-0.035133362,51.3972168,-114.4165039,8/14/21 19:36,b'AM',0,b'fossil,Calgary_Canada',Calgary_Canada,Canada,Calgary
b'fossil_Changchun_China',0.313169003,43.94534302,125.3337097,1/30/21 6:56,b'AM',0,b'fossil,Changchun_China',Changchun_China,China,Changchun
b'fossil_Chennai_India',0.162316322,13.16723633,79.9263916,1/29/21 7:31,b'AM',0,b'fossil,Chennai_India',Chennai_India,India,Chennai
b'fossil_Chifeng_China',0.527507782,42.69415283,118.9532471,8/31/21 0:27,b'AM',0,b'fossil,Chifeng_China',Chifeng_China,China,Chifeng
b'fossil_Doha_Qatar',0.060520172,24.45159912,52.18948364,2/18/21 11:10,b'AM',0,b'fossil,Doha_Qatar',Doha_Qatar,Qatar,Doha
b'fossil_Fremantle_Australia',0.1117239,-31.88820394,116.1080322,1/9/21 2:15,b'AM',0,b'fossil,Fremantle_Australia',Fremantle_Australia,Australia,Fremantle
b'fossil_Guangzhou_China',0.18104744,23.43823242,113.6077881,11/2/21 1:38,b'AM',0,b'fossil,Guangzhou_China',Guangzhou_China,China,Guangzhou
b'fossil_Guiyang_China',0.280447006,26.23651123,106.8330078,8/29/21 3:39,b'AM',0,b'fossil,Guiyang_China',Guiyang_China,China,Guiyang
b'fossil_Harbin_China',0.084158421,46.18240356,126.9695129,2/7/21 3:51,b'AM',0,b'fossil,Harbin_China',Harbin_China,China,Harbin
b'fossil_Ho_Chi_Minh_City_Vietnam',0.587370872,11.71765137,106.8104248,4/22/21 7:24,b'AM',0,b'fossil,Ho_Chi_Minh_City_Vietnam',Ho_Chi_Minh_City_Vietnam,Vietnam,Ho_Chi_Minh_City
b'fossil_Jakarta_Indonesia',0.346423149,-6.583435059,107.3861084,8/25/21 6:54,b'AM',0,b'fossil,Jakarta_Indonesia',Jakarta_Indonesia,Indonesia,Jakarta
b'fossil_Janschwalde_Germany',0.687747478,51.56335449,16.20974731,6/8/21 14:05,b'AM',0,b'fossil,Janschwalde_Germany',Janschwalde_Germany,Germany,Janschwalde
b'fossil_Jeddah_Saudi_Arabia',0.019051552,21.8671875,39.33630371,8/29/21 8:19,b'AM',0,b'fossil,Jeddah_Saudi_Arabia',Jeddah_Saudi_Arabia,Saudi_Arabia,Jeddah
b'fossil_Kansas_City_USA',0.172991753,39.74182129,-94.70294189,10/25/21 16:59,b'AM',0,b'fossil,Kansas_City_USA',Kansas_City_USA,USA,Kansas_City
b'fossil_Khartoum_Sudan',0.040956497,15.85876465,32.74053955,8/27/21 9:54,b'AM',0,b'fossil,Khartoum_Sudan',Khartoum_Sudan,Sudan,Khartoum
b'fossil_Kolkata_India',0.051435947,22.82098389,88.69927979,12/27/21 5:35,b'AM',0,b'fossil,Kolkata_India',Kolkata_India,India,Kolkata
b'fossil_Lagos_Nigeria',0.00595808,6.969512939,3.730285645,1/25/21 13:39,b'AM',0,b'fossil,Lagos_Nigeria',Lagos_Nigeria,Nigeria,Lagos
b'fossil_Lahore_Pakistan',0.411702156,31.85882568,74.3739624,1/29/21 9:10,b'AM',0,b'fossil,Lahore_Pakistan',Lahore_Pakistan,Pakistan,Lahore
b'fossil_Lima_Peru',0.250894547,-11.64685059,-77.03167725,8/8/21 12:57,b'AM',0,b'fossil,Lima_Peru',Lima_Peru,Peru,Lima
b'fossil_London_UK',0.519723892,51.45483398,-0.050048828,6/8/21 14:03,b'AM',0,b'fossil,London_UK',London_UK,UK,London
b'fossil_Madrid_Spain',0.249204159,40.74363708,-4.096282959,7/5/21 7:16,b'AM',0,b'fossil,Madrid_Spain',Madrid_Spain,Spain,Madrid
b'fossil_Manila_Philippines',0.173109055,15.32189941,120.9933472,11/2/21 1:41,b'AM',0,b'fossil,Manila_Philippines',Manila_Philippines,Philippines,Manila
b'fossil_Medina_Saudi_Arabia',0.000989914,23.23431396,41.07092285,12/27/21 8:41,b'AM',0,b'fossil,Medina_Saudi_Arabia',Medina_Saudi_Arabia,Saudi_Arabia,Medina
b'fossil_Melbourne_Australia',0.237677097,-37.47488403,144.9682312,3/24/21 2:34,b'AM',0,b'fossil,Melbourne_Australia',Melbourne_Australia,Australia,Melbourne
b'fossil_Mexico_City_Mexico',0.187734127,19.80230713,-99.13043213,4/28/21 18:12,b'AM',0,b'fossil,Mexico_City_Mexico',Mexico_City_Mexico,Mexico,Mexico_City
b'fossil_Miami_USA',0.284231186,26.71734619,-80.45056152,12/31/21 14:48,b'AM',0,b'fossil,Miami_USA',Miami_USA,USA,Miami
b'fossil_Monterrey_Mexico',0.049152374,25.97332764,-100.0801392,5/3/21 15:51,b'AM',0,b'fossil,Monterrey_Mexico',Monterrey_Mexico,Mexico,Monterrey
b'fossil_Mumbai_India',0.23692131,18.94378662,73.00585938,5/30/21 8:21,b'AM',0,b'fossil,Mumbai_India',Mumbai_India,India,Mumbai
b'fossil_Munich_Germany',-0.017720222,48.25878906,12.46185303,12/21/21 10:05,b'AM',0,b'fossil,Munich_Germany',Munich_Germany,Germany,Munich
b'fossil_Nairobi_Kenya',0.163435459,-1.281646729,36.70367432,3/24/21 12:05,b'AM',0,b'fossil,Nairobi_Kenya',Nairobi_Kenya,Kenya,Nairobi
b'fossil_Orlando_USA',0.244829178,28.56195068,-81.02032471,2/28/21 15:48,b'AM',0,b'fossil,Orlando_USA',Orlando_USA,USA,Orlando
b'fossil_Portland_USA',0.271819115,45.80322266,-122.9553223,8/14/21 17:58,b'AM',0,b'fossil,Portland_USA',Portland_USA,USA,Portland
b'fossil_Qingdao_China',0.111834526,36.50909424,120.5012207,3/4/21 0:15,b'AM',0,b'fossil,Qingdao_China',Qingdao_China,China,Qingdao
b'fossil_Riyadh_Saudi_Arabia',-0.039591789,25.50736491,47.39760335,2/11/21 5:15,b'AM',0,b'fossil,Riyadh_Saudi_Arabia',Riyadh_Saudi_Arabia,Saudi_Arabia,Riyadh
b'fossil_Rome_Italy',0.152888775,42.37194824,12.44262695,2/27/21 8:44,b'AM',0,b'fossil,Rome_Italy',Rome_Italy,Italy,Rome
b'fossil_Rostov-on-Don_Russia',0.050495625,47.42529297,39.97381592,2/4/21 10:50,b'AM',0,b'fossil,Rostov-on-Don_Russia',Rostov-on-Don_Russia,Russia,Rostov-on-Don
b'fossil_Rotterdam_Netherlands',0.879487991,51.98324585,4.525848389,5/31/21 17:09,b'AM',0,b'fossil,Rotterdam_Netherlands',Rotterdam_Netherlands,Netherlands,Rotterdam
b'fossil_Sacramento_USA',0.723568916,38.93920898,-121.6259766,6/14/21 17:00,b'AM',0,b'fossil,Sacramento_USA',Sacramento_USA,USA,Sacramento
b'fossil_Samut_Prakan_Thailand',0.125768661,13.78063965,100.9359131,4/2/21 5:12,b'AM',0,b'fossil,Samut_Prakan_Thailand',Samut_Prakan_Thailand,Thailand,Samut_Prakan
b'fossil_San_Cristobal_Dominican_Republic',0.503599167,19.38098145,-70.29650879,10/25/21 17:07,b'AM',0,b'fossil,San_Cristobal_Dominican_Republic',San_Cristobal_Dominican_Republic,Dominican_Republic,San_Cristobal
b'fossil_Seattle_USA',0.114484787,47.74957275,-121.9691162,8/9/21 0:20,b'AM',0,b'fossil,Seattle_USA',Seattle_USA,USA,Seattle
b'fossil_Shah_Alam_Malaysia',0.513526917,4.288085938,100.9359131,8/29/21 5:20,b'AM',0,b'fossil,Shah_Alam_Malaysia',Shah_Alam_Malaysia,Malaysia,Shah_Alam
b'fossil_Shantou_China',0.218173504,24.01449585,116.2886353,4/29/21 3:29,b'AM',0,b'fossil,Shantou_China',Shantou_China,China,Shantou
b'fossil_Sohag_Egypt',-0.159806252,26.05249023,32.58343506,3/7/21 5:44,b'AM',0,b'fossil,Sohag_Egypt',Sohag_Egypt,Egypt,Sohag
b'fossil_St_Louis_USA',0.112887383,38.92956543,-90.16064453,4/5/21 18:31,b'AM',0,b'fossil,St_Louis_USA',St_Louis_USA,USA,St_Louis
b'fossil_Tabriz_Iran',0.33666563,37.08590698,47.18676758,4/20/21 10:21,b'AM',0,b'fossil,Tabriz_Iran',Tabriz_Iran,Iran,Tabriz
b'fossil_Taegu_South_Korea',0.182826996,36.5612793,129.3760986,4/7/21 3:01,b'AM',0,b'fossil,Taegu_South_Korea',Taegu_South_Korea,South_Korea,Taegu
b'fossil_Toronto_Canada',0.530554771,43.2635498,-77.86798096,8/26/21 15:08,b'AM',0,b'fossil,Toronto_Canada',Toronto_Canada,Canada,Toronto
b'fossil_Urumqi_China',0.111995697,43.20245361,86.95776367,8/19/21 1:41,b'AM',0,b'fossil,Urumqi_China',Urumqi_China,China,Urumqi
b'fossil_Wenzhou_China',0.247560501,28.19378662,120.5075073,8/8/21 2:20,b'AM',0,b'fossil,Wenzhou_China',Wenzhou_China,China,Wenzhou
b'fossil_Wuhan_China',0.284254551,31.13861084,113.9255066,8/31/21 2:05,b'AM',0,b'fossil,Wuhan_China',Wuhan_China,China,Wuhan
b'fossil_Yinchuan_China',0.165138245,38.16644287,106.2736206,12/21/21 5:32,b'AM',0,b'fossil,Yinchuan_China',Yinchuan_China,China,Yinchuan
b'fossil_Zhengzhou_China',0.13436985,33.52539063,115.4052124,6/21/21 5:44,b'AM',0,b'fossil,Zhengzhou_China',Zhengzhou_China,China,Zhengzhou
b'fossil_Zibo_China',0.550309181,36.11022949,119.2808228,4/28/21 2:37,b'AM',0,b'fossil,Zibo_China',Zibo_China,China,Zibo
b'fossil_Abu_Dhabi_UAE',-0.016960144,23.84790039,55.42895508,6/24/22 8:49,b'AM',0,b'fossil,Abu_Dhabi_UAE',Abu_Dhabi_UAE,UAE,Abu_Dhabi
b'fossil_Almaty_Kazakhstan',0.246757507,43.64385986,76.86633301,8/6/22 7:01,b'AM',0,b'fossil,Almaty_Kazakhstan',Almaty_Kazakhstan,Kazakhstan,Almaty
b'fossil_Ankara_Turkey',0.151331902,40.69445801,33.49432373,4/7/22 9:31,b'AM',0,b'fossil,Ankara_Turkey',Ankara_Turkey,Turkey,Ankara
b'fossil_Baabda_Lebanon',0.181001663,34.92504883,36.23583984,6/27/22 7:57,b'AM',0,b'fossil,Baabda_Lebanon',Baabda_Lebanon,Lebanon,Baabda
b'fossil_Baghdad_Iraq',0.054584503,33.6585083,44.3848877,6/15/22 4:38,b'AM',0,b'fossil,Baghdad_Iraq',Baghdad_Iraq,Iraq,Baghdad
b'fossil_Bangalore_India',0.103948593,13.84869385,77.9699707,3/27/22 8:42,b'AM',0,b'fossil,Bangalore_India',Bangalore_India,India,Bangalore
b'fossil_Baotou_China',0.066598415,40.59997559,109.4700928,3/27/22 8:52,b'AM',0,b'fossil,Baotou_China',Baotou_China,China,Baotou
b'fossil_Barcelona_Spain',0.154646873,42.14733887,1.795471191,6/23/22 11:03,b'AM',0,b'fossil,Barcelona_Spain',Barcelona_Spain,Spain,Barcelona
b'fossil_Boston_USA',0.027420044,43.09210205,-71.48516846,10/15/22 18:25,b'AM',0,b'fossil,Boston_USA',Boston_USA,USA,Boston
b'fossil_Brisbane_Australia',0.19265461,-27.35043335,152.4341736,1/4/22 1:07,b'AM',0,b'fossil,Brisbane_Australia',Brisbane_Australia,Australia,Brisbane
b'fossil_Bucharest_Romania',0.716758728,44.63647461,25.25024414,6/16/22 7:02,b'AM',0,b'fossil,Bucharest_Romania',Bucharest_Romania,Romania,Bucharest
b'fossil_Buenos_Aires_Argentina',0.289745331,-33.75384521,-57.70855713,1/16/22 18:26,b'AM',0,b'fossil,Buenos_Aires_Argentina',Buenos_Aires_Argentina,Argentina,Buenos_Aires
b'fossil_Cairo_Egypt',0.122975826,30.44290161,30.90731812,10/17/22 12:17,b'AM',0,b'fossil,Cairo_Egypt',Cairo_Egypt,Egypt,Cairo
b'fossil_Cape_Town_South_Africa',0.470582962,-33.88769531,18.83337402,1/17/22 13:00,b'AM',0,b'fossil,Cape_Town_South_Africa',Cape_Town_South_Africa,South_Africa,Cape_Town
b'fossil_Caracas_Venezuela',0.155741692,10.4798584,-66.30999756,2/15/22 20:34,b'AM',0,b'fossil,Caracas_Venezuela',Caracas_Venezuela,Venezuela,Caracas
b'fossil_Changchun_China',0.405007362,44.12609863,125.6843262,8/21/22 3:05,b'AM',0,b'fossil,Changchun_China',Changchun_China,China,Changchun
b'fossil_Chicago_USA',0.441696167,43.04736328,-85.85754395,7/26/22 21:54,b'AM',0,b'fossil,Chicago_USA',Chicago_USA,USA,Chicago
b'fossil_Fremantle_Australia',0.397426605,-31.49493408,115.9521484,9/11/22 0:52,b'AM',0,b'fossil,Fremantle_Australia',Fremantle_Australia,Australia,Fremantle
