sounding_id,xco2,operation_mode,xco2_quality_flag,target_name,latitude,longitude,index_right,Target Name,datetime,local_time,timezone,city,country,population
2.02E+15,408.3179,b'AM',FALSE,none,43.473217,76.61367,219,fossil_Almaty_Kazakhstan,8/6/19 8:53,8/6/19 14:53,6,Boralday,Kazakhstan,20996
2.02E+15,409.2245,b'AM',FALSE,none,43.38161,76.607506,219,fossil_Almaty_Kazakhstan,8/6/19 8:53,8/6/19 14:53,6,Boralday,Kazakhstan,20996
2.02E+15,409.11633,b'AM',FALSE,none,43.42234,76.61995,219,fossil_Almaty_Kazakhstan,8/6/19 8:53,8/6/19 14:53,6,Boralday,Kazakhstan,20996
2.02E+15,408.1728,b'AM',FALSE,none,43.442734,76.62611,219,fossil_Almaty_Kazakhstan,8/6/19 8:53,8/6/19 14:53,6,Boralday,Kazakhstan,20996
2.02E+15,409.00366,b'AM',FALSE,none,43.463142,76.632126,219,fossil_Almaty_Kazakhstan,8/6/19 8:53,8/6/19 14:53,6,Boralday,Kazakhstan,20996
2.02E+15,409.12213,b'AM',FALSE,none,43.483578,76.638214,219,fossil_Almaty_Kazakhstan,8/6/19 8:53,8/6/19 14:53,6,Boralday,Kazakhstan,20996
2.02E+15,407.86877,b'AM',FALSE,none,43.371643,76.62554,219,fossil_Almaty_Kazakhstan,8/6/19 8:53,8/6/19 14:53,6,Boralday,Kazakhstan,20996
2.02E+15,408.8307,b'AM',FALSE,none,43.391975,76.632034,219,fossil_Almaty_Kazakhstan,8/6/19 8:53,8/6/19 14:53,6,Boralday,Kazakhstan,20996
2.02E+15,409.05164,b'AM',FALSE,none,43.432697,76.64443,219,fossil_Almaty_Kazakhstan,8/6/19 8:53,8/6/19 14:53,6,Boralday,Kazakhstan,20996
2.02E+15,409.2342,b'AM',FALSE,none,43.45309,76.650665,219,fossil_Almaty_Kazakhstan,8/6/19 8:53,8/6/19 14:53,6,Boralday,Kazakhstan,20996
2.02E+15,408.19897,b'AM',FALSE,none,43.4735,76.657036,219,fossil_Almaty_Kazakhstan,8/6/19 8:53,8/6/19 14:53,6,Boralday,Kazakhstan,20996
2.02E+15,408.53235,b'AM',FALSE,none,43.49393,76.663,219,fossil_Almaty_Kazakhstan,8/6/19 8:53,8/6/19 14:53,6,Boralday,Kazakhstan,20996
2.02E+15,409.16525,b'AM',FALSE,none,43.381996,76.65023,219,fossil_Almaty_Kazakhstan,8/6/19 8:53,8/6/19 14:53,6,Boralday,Kazakhstan,20996
2.02E+15,409.78955,b'AM',FALSE,none,43.422676,76.663124,219,fossil_Almaty_Kazakhstan,8/6/19 8:53,8/6/19 14:53,6,Boralday,Kazakhstan,20996
2.02E+15,408.8817,b'AM',FALSE,none,43.46344,76.67532,219,fossil_Almaty_Kazakhstan,8/6/19 8:53,8/6/19 14:53,6,Boralday,Kazakhstan,20996
2.02E+15,409.14548,b'AM',FALSE,none,43.48385,76.68145,219,fossil_Almaty_Kazakhstan,8/6/19 8:53,8/6/19 14:53,6,Boralday,Kazakhstan,20996
2.02E+15,408.767,b'AM',FALSE,none,43.50428,76.6878,219,fossil_Almaty_Kazakhstan,8/6/19 8:53,8/6/19 14:53,6,Boralday,Kazakhstan,20996
2.02E+15,408.76505,b'AM',FALSE,none,43.39235,76.67479,219,fossil_Almaty_Kazakhstan,8/6/19 8:53,8/6/19 14:53,6,Boralday,Kazakhstan,20996
2.02E+15,409.45844,b'AM',FALSE,none,43.473785,76.700195,219,fossil_Almaty_Kazakhstan,8/6/19 8:53,8/6/19 14:53,6,Boralday,Kazakhstan,20996
2.02E+15,409.3602,b'AM',FALSE,none,43.494194,76.70634,219,fossil_Almaty_Kazakhstan,8/6/19 8:53,8/6/19 14:53,6,Boralday,Kazakhstan,20996
